;A;2;3;4;5;6;7;8;9;10;J;Q;K
4H;0;25;13;23;19;32;20;31;23;20;10;18;15
5H;0;52;35;56;45;44;38;44;39;32;32;22;32
6H;7;87;117;98;118;109;106;98;91;71;82;84;82
7H;104;386;350;405;398;459;386;292;275;265;254;263;270
8H;284;694;731;682;672;742;815;528;505;466;474;502;454
9H;622;1082;1156;1204;1147;1259;1259;1197;903;848;772;791;757
10H;985;1671;1528;1645;1570;1751;1731;1674;1559;1170;1206;1176;1218
11H;1360;2284;2389;2265;2444;2405;2193;2041;2014;1803;1727;1756;1821
12H;1303;2101;2076;2124;2155;2301;2182;2038;1794;1637;1611;1600;1525
13H;1338;2128;2100;2207;2329;2290;2385;2171;1904;1706;1670;1687;1625
14H;1312;2183;2320;2181;2287;2337;2341;2234;1987;1707;1634;1616;1627
15H;1454;2156;2395;2381;2418;2412;2509;2334;1981;1808;1645;1732;1656
16H;1453;2317;2387;2478;2515;2391;2560;2322;2102;1740;1818;1781;1770
17H;512;1659;1747;1808;1929;1878;1062;1115;1007;966;1002;983;928
18H;1018;1975;2075;2227;2182;2390;2562;1414;1451;1269;1280;1396;1301
19H;1421;2355;2449;2395;2442;2531;2821;2630;1678;1634;1635;1556;1639
20H;3724;5522;5656;5583;5673;5917;6254;6188;5988;3975;3907;3833;3990
12S;48;100;116;92;133;119;107;105;102;78;81;72;106
13S;139;233;229;247;265;258;272;224;218;184;183;170;173
14S;136;261;258;251;259;263;313;253;263;192;196;199;185
15S;139;272;300;285;308;305;295;285;257;219;225;189;217
16S;192;308;340;307;302;329;365;323;288;241;248;233;230
17S;114;325;336;332;412;365;228;243;214;180;204;195;194
18S;227;456;473;504;488;514;549;334;295;286;282;325;316
19S;343;574;554;573;614;622;700;648;442;406;390;390;376
20S;460;678;650;665;703;684;817;774;765;489;498;545;464
21S;2407;3743;3577;3671;3613;3699;3665;3701;3687;3392;3270;3418;3375
